country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2020-02-15,3.0,2.0,29.0,9.0,1.0,-1.0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2020-02-16,-7.0,-3.0,-30.0,-3.0,-3.0,1.0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2020-02-17,1.0,2.0,8.0,4.0,4.0,0.0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2020-02-18,3.0,3.0,18.0,6.0,4.0,0.0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2020-02-19,3.0,1.0,13.0,5.0,4.0,0.0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2020-02-20,-2.0,-1.0,4.0,3.0,3.0,0.0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2020-02-21,0.0,3.0,15.0,7.0,2.0,0.0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2020-02-22,-4.0,0.0,0.0,2.0,-2.0,0.0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2020-02-23,-7.0,-7.0,-27.0,-2.0,-4.0,0.0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2020-02-24,7.0,0.0,7.0,-11.0,-24.0,4.0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2020-02-25,10.0,2.0,29.0,-8.0,-23.0,4.0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2020-02-26,-1.0,-5.0,-4.0,-11.0,-21.0,3.0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2020-02-27,-2.0,-2.0,-15.0,-15.0,-23.0,6.0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2020-02-28,-1.0,3.0,3.0,-10.0,-23.0,5.0
BE,Belgium,,,,,,ChIJl5fz7WR9wUcR8g_mObTy60c,2020-02-29,-4.0,2.0,-7.0,-2.0,-5.0,1.0
